Date,Price,Open,High,Low,Vol.,Change %
1/7/2015,17689.86,17638.12,18137.12,17399.17,2.03B,0.40%
1/8/2015,16528.03,17696.74,17704.76,15370.33,2.73B,-6.57%
1/9/2015,16284.70,16528.03,16933.43,15942.37,2.72B,-1.47%
1/10/2015,17663.54,16278.62,17799.96,16013.66,2.61B,8.47%
1/11/2015,17719.92,17672.62,17977.85,17210.43,2.30B,0.32%
1/12/2015,17425.03,17719.72,17901.58,17116.73,2.52B,-1.66%
1/1/2016,16466.30,17405.48,17405.48,15450.56,2.84B,-5.50%
1/2/2016,16516.50,16453.63,16795.98,15503.01,2.49B,0.30%
1/3/2016,17685.09,16545.67,17790.11,16545.67,2.41B,7.08%
1/4/2016,17773.64,17661.74,18167.63,17484.23,2.10B,0.50%
1/5/2016,17787.20,17783.78,17934.61,17331.07,1.88B,0.08%
1/6/2016,17929.99,17754.55,18016.00,17063.08,2.35B,0.80%
1/7/2016,18432.24,17924.24,18622.01,17713.45,1.82B,2.80%
1/8/2016,18400.88,18434.50,18668.44,18247.79,1.70B,-0.17%
1/9/2016,18308.15,18396.57,18551.54,17992.21,2.10B,-0.50%
1/10/2016,18142.42,18279.60,18399.96,17959.95,1.79B,-0.91%
1/11/2016,19123.58,18158.24,19225.29,17883.56,2.11B,5.41%
1/12/2016,19762.60,19149.20,19987.63,19138.79,5.95B,3.34%
1/1/2017,19864.09,19872.86,20125.58,19677.94,6.48B,0.51%
1/2/2017,20812.24,19923.81,20851.33,19831.09,6.19B,4.77%
1/3/2017,20663.22,20957.29,21169.11,20412.80,6.94B,-0.72%
1/4/2017,20940.51,20665.17,21070.90,20379.55,5.39B,1.34%
1/5/2017,21008.65,20962.73,21112.32,20553.45,6.61B,0.33%
1/6/2017,21349.63,21030.55,21535.03,20994.22,7.21B,1.62%
1/7/2017,21891.12,21392.30,21929.80,21279.30,5.57B,2.54%
1/8/2017,21948.10,21961.42,22179.11,21600.34,6.15B,0.26%
1/9/2017,22405.09,21981.77,22419.51,21709.63,6.34B,2.08%
1/10/2017,23377.24,22423.47,23485.25,22416.00,7.30B,4.34%
1/11/2017,24272.35,23442.90,24327.82,23242.75,7.34B,3.83%
1/12/2017,24719.22,24305.40,24876.07,23921.90,6.59B,1.84%
1/1/2018,26149.39,24809.35,26616.71,24741.70,9.12B,5.79%
1/2/2018,25029.20,26083.04,26306.70,23360.29,9.45B,-4.28%
1/3/2018,24103.11,25024.04,25449.15,23509.06,8.87B,-3.70%
1/4/2018,24163.15,24076.60,24858.97,23344.52,8.06B,0.25%
1/5/2018,24415.84,24117.29,25086.49,23531.31,7.28B,1.05%
1/6/2018,24271.41,24542.09,25402.83,23997.21,7.41B,-0.59%
1/7/2018,25415.19,24161.53,25587.24,24077.56,5.41B,4.71%
1/8/2018,25964.82,25461.63,26167.94,24965.77,5.64B,2.16%
1/9/2018,26458.31,25916.07,26769.16,25754.32,5.26B,1.90%
1/10/2018,25115.76,26598.36,26951.81,24122.23,8.37B,-5.07%
1/11/2018,25538.46,25142.08,26277.82,24268.74,7.23B,1.68%
1/12/2018,23327.46,25779.57,25980.21,21712.53,8.10B,-8.66%
1/1/2019,24999.67,23058.61,25109.62,22638.41,7.19B,7.17%
1/2/2019,25916.00,25025.31,26241.42,24883.04,5.43B,3.67%
1/3/2019,25928.68,26019.67,26155.98,25208.00,6.63B,0.05%
1/4/2019,26592.91,26075.10,26695.96,26062.59,5.85B,2.56%
1/5/2019,24815.04,26639.06,26689.39,24809.51,6.36B,-6.69%
1/6/2019,26599.96,24830.16,26907.37,24680.57,5.54B,7.19%
1/7/2019,26864.27,26805.86,27398.68,26616.21,5.27B,0.99%
1/8/2019,26403.28,26879.86,27175.59,25339.60,6.24B,-1.72%
1/9/2019,26916.83,26198.26,27306.73,25978.22,5.09B,1.95%
1/10/2019,27046.23,26962.54,27204.36,25743.46,5.72B,0.48%
1/11/2019,28051.41,27142.95,28174.97,27142.95,4.98B,3.72%
1/12/2019,28538.44,28109.74,28701.66,27325.13,5.14B,1.74%
